State,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,latitude,longitude
California,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045,36.701463,-118.755997
Texas,25242679,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845,31.816038,-99.512099
New York,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209,43.156168,-75.844995
Florida,18845785,19093352,19326230,19563166,19860330,20224249,20629982,20976812,21299325,27.756767,-81.463983
Illinois,12840762,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080,40.079661,-89.433729
Pennsylvania,12711158,12744583,12766827,12776621,12789101,12785759,12783538,12790447,12807060,40.969989,-77.727883
Ohio,11539327,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442,40.225357,-82.688139
Michigan,9877535,9881521,9896930,9913349,9930589,9932573,9951890,9976447,9995915,43.621196,-84.682435
Georgia,9711810,9801578,9901496,9973326,10069001,10181111,10304763,10413055,10519475,32.329381,-83.113737
North Carolina,9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620,35.672964,-79.039292
New Jersey,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520,40.075738,-74.404162
Virginia,8023680,8100469,8185229,8253053,8312076,8362907,8410946,8465207,8517685,37.123225,-78.492772
Washington,6742902,6821655,6892876,6962906,7052439,7163543,7294680,7425432,7535591,47.286835,-120.212614
Massachusetts,6566431,6613149,6663158,6713944,6763652,6795891,6826022,6863246,6902149,42.378877,-72.032366
Indiana,6490436,6516045,6537640,6568367,6593533,6608296,6633344,6660082,6691878,40.327013,-86.174693
